model_key,model,protocol,protocol_name,direction,row_type,genre,is_seen,n,mrr,recall_at_1,recall_at_5,recall_at_10,mean_rank
untrained,Untrained Heads,B,label,V2A,seen_mean,,,,0.1892672087251319,0.03581585401391539,0.3461298755442678,0.5206252778504531,24.829801309007987
untrained,Untrained Heads,B,label,V2A,unseen_mean,,,,0.3065147778868541,0.23404704118957928,0.3686762654913814,0.4513780318935096,66.16929964314606
untrained,Untrained Heads,B,label,V2A,overall_mean,,,,0.22444147947364854,0.09528521016661455,0.35289379252840186,0.49985110406337013,37.231650809249416
untrained,Untrained Heads,B,label,A2V,genre,Blues,1,367,0.17711057320383605,0.01634877384196185,0.3460490463215259,0.6185286103542235,14.013623978201634
untrained,Untrained Heads,B,label,A2V,genre,Classical music,1,366,0.0651840285937558,0.00546448087431694,0.06284153005464481,0.1557377049180328,34.46994535519126
untrained,Untrained Heads,B,label,A2V,genre,Country,1,367,0.1702564316799598,0.02452316076294278,0.2670299727520436,0.5831062670299727,11.138964577656676
untrained,Untrained Heads,B,label,A2V,genre,Electronic music,0,367,0.1936322376754001,0.04087193460490463,0.33787465940054495,0.5912806539509536,12.490463215258856
untrained,Untrained Heads,B,label,A2V,genre,Funk,0,367,0.47307624178151536,0.32697547683923706,0.6512261580381471,0.8119891008174387,6.348773841961853
untrained,Untrained Heads,B,label,A2V,genre,Hip hop music,1,367,0.4280441286147118,0.18256130790190736,0.8610354223433242,0.9673024523160763,3.6239782016348774
untrained,Untrained Heads,B,label,A2V,genre,Jazz,1,367,0.09205447628300019,0.005449591280653951,0.12534059945504086,0.35149863760217986,21.348773841961854
untrained,Untrained Heads,B,label,A2V,genre,Pop music,1,367,0.09733917947143605,0.010899182561307902,0.10354223433242507,0.25340599455040874,18.713896457765667
untrained,Untrained Heads,B,label,A2V,genre,Reggae,0,366,0.29949016905984116,0.04918032786885246,0.7021857923497268,0.9754098360655737,4.5683060109289615
untrained,Untrained Heads,B,label,A2V,genre,Rock music,1,367,0.11373262138472395,0.0027247956403269754,0.16893732970027248,0.37057220708446864,15.735694822888284
untrained,Untrained Heads,B,label,A2V,seen_mean,,,,0.16338877703306048,0.03542447040905968,0.27639659070846817,0.4714502676936232,17.00641103361432
untrained,Untrained Heads,B,label,A2V,unseen_mean,,,,0.32206621617225223,0.1390092464376647,0.5637622032628062,0.7928931969446554,7.8025143560498895
untrained,Untrained Heads,B,label,A2V,overall_mean,,,,0.210992008774818,0.06649990321764118,0.3626062744747696,0.5678831464689329,14.245242030344988
pair,Pair-based Head,A,pair,V2A,genre,Blues,1,367,0.03768894254883663,0.01907356948228883,0.04087193460490463,0.06267029972752043,684.7574931880109
pair,Pair-based Head,A,pair,V2A,genre,Classical music,1,366,0.08770540305395126,0.030054644808743168,0.12295081967213115,0.20765027322404372,288.9617486338798
pair,Pair-based Head,A,pair,V2A,genre,Country,1,367,0.055519236484268535,0.01907356948228883,0.08446866485013624,0.11989100817438691,536.6811989100818
pair,Pair-based Head,A,pair,V2A,genre,Electronic music,0,367,0.017913456015096196,0.005449591280653951,0.01907356948228883,0.027247956403269755,900.5858310626703
pair,Pair-based Head,A,pair,V2A,genre,Funk,0,367,0.008338425220138782,0.0,0.0,0.021798365122615803,802.4523160762943
pair,Pair-based Head,A,pair,V2A,genre,Hip hop music,1,367,0.02284430357036978,0.008174386920980926,0.02997275204359673,0.035422343324250684,653.9046321525885
