model_key,model,direction,genre,n,delta_median,delta_mean,delta_q25,delta_q75,delta_p10,delta_p05,frac_delta_neg,rank_median,spearman_delta_vs_rank,spearman_pvalue,pearson_delta_vs_rank,pearson_pvalue
genre,E2,V2A,ALL,3668,0.012091967897058829,0.00418130435727073,-0.009897251562048003,0.026676026454364378,-0.03711364905713129,-0.05608025220706373,0.5162438022066378,3.2,-0.6941336221562588,nan,-0.5430631982836096,nan
genre,E2,A2V,Blues,367,-0.02042261591517852,-0.027620553041204098,-0.03503063373197296,-0.010511164478758744,-0.058741413655229335,-0.07657601230458194,0.9727520435967303,8.0,-0.5893941026114632,1.0537975472975693e-35,-0.5599509304673489,1.1258767643561417e-31
genre,E2,A2V,Classical music,366,0.10991618438407896,0.08597842440423845,0.04014038545262483,0.1429326121106494,-0.0198522818895516,-0.0587114406327789,0.14754098360655737,1.0,-0.6314873189394185,4.01358829935583e-42,-0.485846755412629,4.456087781728537e-23
genre,E2,A2V,Country,367,0.004054532410044442,-0.0016520216938004952,-0.02310819934255942,0.02994513149050468,-0.05580013812199924,-0.07311300949493216,0.4550408719346049,2.0,-0.8449411196714964,3.1669589654548005e-101,-0.6572510124851392,9.391585220722577e-47
genre,E2,A2V,Electronic music,367,0.007735755925156518,0.0051966694287870225,-0.019388508892618117,0.030320131149606633,-0.03970005985605376,-0.04787589912575955,0.4141689373297003,2.0,-0.7628777982526921,4.028823768379656e-71,-0.4513222733225801,8.106194356395626e-20
genre,E2,A2V,Funk,367,-0.021045019651947827,-0.0240366332978818,-0.032503121361487225,-0.013688138763337493,-0.043781671564988654,-0.05009920317821598,0.9918256130790191,8.0,-0.5620047616672302,6.0732684962025e-32,-0.4597841989110873,1.3484764619869054e-20
genre,E2,A2V,Hip hop music,367,-0.0004639031472806199,-0.003303314709218695,-0.010207762050130326,0.008440575514404552,-0.024520667293951047,-0.03701793116531778,0.5122615803814714,3.0,-0.7570274407642671,1.8914109058953251e-69,-0.6589149800785331,4.628863441782966e-47
genre,E2,A2V,Jazz,367,-0.02360580028208087,-0.028452237606891553,-0.04841718767790518,-0.0030906743980884666,-0.07295740431140828,-0.08954731907513137,0.7901907356948229,7.0,-0.7221323869927173,2.204778188401602e-60,-0.5437942229394698,1.2493878823947931e-29
genre,E2,A2V,Pop music,367,-0.02288541251865328,-0.024006109138369522,-0.037713202536344775,-0.008852754118517131,-0.052434272878309124,-0.06187679980671999,0.8583106267029973,31.0,-0.6157614431047278,1.1160545931204379e-39,-0.5550210638192004,4.868425058702642e-31
genre,E2,A2V,Reggae,366,0.001827042515878452,-0.0018249749865794588,-0.012302370024417322,0.014601602574481634,-0.04168342733091074,-0.050192663931233894,0.453551912568306,1.0,-0.6149390399792424,1.9103474477694786e-39,-0.4983335317435013,2.271645241931927e-24
genre,E2,A2V,Rock music,367,0.009354099664305282,0.003916695007801648,-0.01152571420827131,0.029152702993060414,-0.03999404771447716,-0.058183179208177054,0.4087193460490463,2.0,-0.8545984075266303,6.497915544609289e-106,-0.5465770642699862,5.653357223555029e-30
genre,E2,A2V,ALL,3668,0.004446486338432254,-0.001580405563311852,-0.019005631437308178,0.02192500240740055,-0.0449465384616879,-0.06031934579228486,0.6004362650943256,6.5,-0.6955163819509886,nan,-0.5416796033449476,nan
audio_encoder_pair,E3a,V2A,Blues,367,-0.13553200415787658,-0.16887230290305166,-0.2745209866176893,-0.0030162606228971156,-0.45729735097500707,-0.578619906098051,0.7574931880108992,4.0,-0.5128006388426523,5.295735514377037e-26,-0.47848379793573226,2.136136533517661e-22
audio_encoder_pair,E3a,V2A,Classical music,366,0.2978532385300047,0.26356131206235145,0.06139367443805338,0.5043358460624878,-0.1885525192447015,-0.30474439882015303,0.20491803278688525,1.0,-0.5995692574248499,4.262912420407908e-37,-0.4456510641879758,2.9344840034723063e-19
audio_encoder_pair,E3a,V2A,Country,367,0.015633828672549477,-0.0009201819838778973,-0.18508246095753506,0.1890978869458519,-0.31780707916827794,-0.41974622552362945,0.4822888283378747,2.0,-0.6736680093775372,7.131381446806621e-50,-0.5145623699129073,3.369701978442314e-26
audio_encoder_pair,E3a,V2A,Electronic music,367,0.05779690379871566,0.039837870538798094,-0.05657077850331636,0.14928890736659728,-0.16694356278748915,-0.25059209743206823,0.36239782016348776,3.0,-0.5256937071320706,1.820777541806968e-27,-0.48095938917458014,1.2103456834557445e-22
audio_encoder_pair,E3a,V2A,Funk,367,-0.09125075822943945,-0.1408648946886875,-0.21750881754650736,-0.01774060221149401,-0.3927919710732029,-0.5074939234381874,0.8010899182561307,5.0,-0.4773153125914303,2.7886012676196523e-22,-0.46461529308614063,4.7347118357424864e-21
audio_encoder_pair,E3a,V2A,Hip hop music,367,0.03984717642876329,0.02716369146719226,-0.06263976558782192,0.13032265632241882,-0.14092414923747218,-0.18679269349713826,0.3760217983651226,2.0,-0.41408315240622756,1.2291699342309267e-16,-0.40501349965127675,6.403682599098883e-16
audio_encoder_pair,E3a,V2A,Jazz,367,-0.15504552800229793,-0.16316259620570356,-0.31525451323885856,0.013158094567411821,-0.5061219769555214,-0.6392612571252996,0.7302452316076294,3.0,-0.5010894492656259,1.001059831121808e-24,-0.42242679263343563,2.5745565994661588e-17
audio_encoder_pair,E3a,V2A,Pop music,367,-0.04453175709398571,-0.0697898705647796,-0.18586859237625297,0.06450876631698638,-0.3519713266683236,-0.45875399787275634,0.5858310626702997,3.0,-0.5025655540934065,6.954460478318475e-25,-0.4221103922404038,2.733967100627725e-17
audio_encoder_pair,E3a,V2A,Reggae,366,-0.02941257444226103,-0.05511112022078839,-0.12473046207445594,0.051028863575525704,-0.23507238152570925,-0.3343159400475134,0.5901639344262295,3.0,-0.6592159254130376,5.421170117796553e-47,-0.6315387075498617,3.9351795704945824e-42
audio_encoder_pair,E3a,V2A,Rock music,367,0.09169328380154174,0.07607601592011069,-0.12555485507475345,0.28877951176014116,-0.276076163738231,-0.3398633320872623,0.41689373297002724,2.0,-0.7152832160520972,9.153167106289752e-59,-0.5154673263784555,2.668665249542308e-26
audio_encoder_pair,E3a,V2A,ALL,3668,0.0047051809305714174,-0.019208207657843607,-0.14863375575391377,0.13697636700830298,-0.3033558481373936,-0.4020183771942059,0.5307343547594586,2.8,-0.5581284222598935,nan,-0.47808286327507704,nan
audio_encoder_pair,E3a,A2V,Blues,367,-0.12645456300847607,-0.17568023988503761,-0.2947345052731929,-0.003996667134866766,-0.5212026891771251,-0.6531102087319396,0.7520435967302452,4.0,-0.5627122051491702,4.905157749870352e-32,-0.5300120642595512,5.699905523027291e-28
audio_encoder_pair,E3a,A2V,Classical music,366,0.3079748326351004,0.25988285916748327,0.05153753675513707,0.5036236612812168,-0.1653234077294072,-0.3062023829916516,0.21311475409836064,1.0,-0.6108286635969795,8.352484549593496e-39,-0.3988606379034939,2.082756626687907e-15
audio_encoder_pair,E3a,A2V,Country,367,0.024196400709352084,-0.005118402298585929,-0.16768738147647816,0.19130370548907755,-0.34387107784046517,-0.5081953340650632,0.45776566757493187,2.0,-0.7155833454839041,7.792283667591164e-59,-0.5146254997975273,3.315391343068283e-26
audio_encoder_pair,E3a,A2V,Electronic music,367,0.05321941055237139,0.014766247553439357,-0.1327181377895262,0.19796808534451432,-0.28234271250227705,-0.36778564442636286,0.44959128065395093,2.0,-0.7056894512928025,1.4109276170895201e-56,-0.5601799235365559,1.051222774745854e-31
audio_encoder_pair,E3a,A2V,Funk,367,-0.10592170264279943,-0.12996422868933194,-0.22081848908998095,-0.014035274512641222,-0.3445922397698403,-0.44455307730376153,0.784741144414169,5.0,-0.5364420331251372,9.80130499654871e-29,-0.44148908594362823,6.125896295232069e-19
audio_encoder_pair,E3a,A2V,Hip hop music,367,-0.03274859941381014,-0.06031490519864722,-0.1756298694151967,0.10216029636808491,-0.3157300795238533,-0.45860043134706646,0.5749318801089919,3.0,-0.7055509923868659,1.5150731702199155e-56,-0.6002873462273591,2.6618401838591086e-37
audio_encoder_pair,E3a,A2V,Jazz,367,-0.11777557935846286,-0.1745124035687161,-0.36821906162924456,0.04279542213240228,-0.5895987832475795,-0.6940468172296231,0.6866485013623979,3.0,-0.6339302832667199,1.2084331456604868e-42,-0.4996224835893289,1.4352163078289239e-24
audio_encoder_pair,E3a,A2V,Pop music,367,-0.1343154420357464,-0.13386478247395225,-0.2963770020055422,0.011820466254101464,-0.4022823748940611,-0.44935090515784154,0.7329700272479565,4.0,-0.6397660335867287,1.2223010914513139e-43,-0.48632984697125076,3.4732793812538156e-23
audio_encoder_pair,E3a,A2V,Reggae,366,-0.05212114813617058,-0.06931165594345186,-0.16694762621009518,0.053848682891365546,-0.32361973472293604,-0.38537640787626276,0.6120218579234973,4.0,-0.7156286139827918,1.0903104537978565e-58,-0.5125629905226229,6.562867967453219e-26
audio_encoder_pair,E3a,A2V,Rock music,367,0.05549860885165203,0.03913104502364016,-0.16065564121305015,0.2131092692526017,-0.3018453041427745,-0.3847702033248025,0.4032697547683924,2.0,-0.6637957971723434,5.659772532426138e-48,-0.5570665722265984,2.6596627392227575e-31
audio_encoder_pair,E3a,A2V,ALL,3668,-0.012844778184698957,-0.043498646631316015,-0.19322501773471698,0.12985976473658567,-0.3590408403550319,-0.46519914124543754,0.5667098464882894,3.0,-0.6489927419043443,nan,-0.5101036450977917,nan
audio_encoder_genre,E3b,V2A,Blues,367,-0.022482011057501028,-0.02995481407098174,-0.04195647241280201,-0.009648278282186201,-0.064846025397243,-0.09548418692670271,0.9700272479564033,8.0,-0.6400730684420373,1.0820046746299494e-43,-0.442248113958255,5.252658720341202e-19
audio_encoder_genre,E3b,V2A,Classical music,366,0.11862158388866048,0.09058845091051695,0.0558401759418624,0.14838832217830972,-0.03589531827969614,-0.07038269230259113,0.15027322404371585,1.0,-0.7201276735035086,9.57951508353044e-60,-0.44496028212362665,3.3794305659783994e-19
audio_encoder_genre,E3b,V2A,Country,367,0.023070827950205097,0.009134052178004018,-0.01475023490463026,0.044655685641527776,-0.055004867935725676,-0.08344539001106607,0.3242506811989101,1.0,-0.7206261525952181,5.051106386140709e-60,-0.5048104634036261,3.982848064315951e-25
audio_encoder_genre,E3b,V2A,Electronic music,367,0.025925121658502637,0.021326433623941987,0.002512650447659359,0.04828822137019817,-0.028994445165855674,-0.04257872920926928,0.23978201634877383,1.0,-0.5289293246208381,7.638596129632999e-28,-0.5530351864607866,8.721031367068963e-31
audio_encoder_genre,E3b,V2A,Funk,367,-0.02440114459018239,-0.029592262833385632,-0.04063517103860215,-0.010786461972643546,-0.06319391096630086,-0.07501305537994596,0.9618528610354223,7.0,-0.5719865682803379,2.8418194734409936e-33,-0.6634389175708865,6.608689467605919e-48
audio_encoder_genre,E3b,V2A,Hip hop music,367,0.006516744854758616,0.0017980394249404426,-0.013296855922542788,0.021420909781786956,-0.028682955918980246,-0.04232921176196178,0.4087193460490463,2.0,-0.6877117988422162,1.047395455037979e-52,-0.48052129713857744,1.3388016463312937e-22
audio_encoder_genre,E3b,V2A,Jazz,367,-0.018165532062590584,-0.024767963909734902,-0.05075464561513568,0.005903301308806064,-0.08289788139791172,-0.10271021495300733,0.670299727520436,3.0,-0.4985096187909197,1.8841073389643322e-24,-0.3974764114501472,2.430660631271126e-15
audio_encoder_genre,E3b,V2A,Pop music,367,-0.012477700717306639,-0.015712622954527956,-0.03092979398670964,0.005220994176109328,-0.04539617516597326,-0.061076239588007813,0.6839237057220708,3.0,-0.5424877862000274,1.8083021322070477e-29,-0.6790413046084585,6.136188637381837e-51
audio_encoder_genre,E3b,V2A,Reggae,366,0.0038000814232908575,-0.0014716729073373104,-0.02133506822411259,0.0272214287617642,-0.052819033721313496,-0.06718386791842654,0.45081967213114754,2.0,-0.8395272944215886,1.8034724276083052e-98,-0.6180272111319332,6.215914073070629e-40
audio_encoder_genre,E3b,V2A,Rock music,367,0.015368429046082821,0.010482979639889865,-0.018896556713406648,0.045126542804409336,-0.044827108527708444,-0.0636787977648597,0.4032697547683924,2.0,-0.7606353740975496,1.7847444490012326e-70,-0.6494671401676867,2.4240716114878982e-45
audio_encoder_genre,E3b,V2A,ALL,3668,0.011577640039391986,0.003183061910132573,-0.017420197242842,0.03257906657680818,-0.050255772247670846,-0.07038823858158384,0.5263218236774319,3.0,-0.651061465979424,nan,-0.5433026328013983,nan
audio_encoder_genre,E3b,A2V,Blues,367,-0.020159746887150776,-0.031464413868718656,-0.04338045785148745,-0.008378320241582221,-0.07986208306143705,-0.10260829148947245,0.9318801089918256,10.0,-0.6929108908814763,8.511878277717341e-54,-0.6007978151865558,2.2326026222701634e-37
audio_encoder_genre,E3b,A2V,Classical music,366,0.12691277567978265,0.08909091567110322,0.04372855012237893,0.14528093535284695,-0.0401291162041342,-0.08018836793636573,0.1830601092896175,1.0,-0.713690367271801,3.063931302521932e-58,-0.6042148545177891,8.575671781979924e-38
audio_encoder_genre,E3b,A2V,Country,367,0.02271386647408835,0.011508141488919321,-0.008244692932478925,0.04829099236852344,-0.06341484634686168,-0.09713432933280372,0.29155313351498635,2.0,-0.6229848775914725,7.799009839418051e-41,-0.6039286193449325,7.540484273145994e-38
audio_encoder_genre,E3b,A2V,Electronic music,367,0.008050230791842916,0.006283742275163752,-0.02758685909810099,0.050127355425541475,-0.0478803930495762,-0.06934148152220859,0.45231607629427795,2.0,-0.8091964162726601,2.570428468922228e-86,-0.4988455928596321,1.7356820754027024e-24
audio_encoder_genre,E3b,A2V,Funk,367,-0.025641352386268024,-0.027937640042224477,-0.03728320964983858,-0.013479687003682933,-0.05177352950878489,-0.06379422149649723,0.9782016348773842,7.0,-0.4178827385005554,6.064386190924258e-17,-0.42590958624887115,1.3233796110104985e-17
audio_encoder_genre,E3b,A2V,Hip hop music,367,0.007092478721110629,-0.0009586237696076032,-0.016036268984616908,0.022791976671606873,-0.04139560024234779,-0.059716513614012666,0.4087193460490463,3.0,-0.7334957022864078,3.5360084160569094e-63,-0.6067293362670653,2.826494111151302e-38
audio_encoder_genre,E3b,A2V,Jazz,367,-0.022234127209293186,-0.026146532730026956,-0.054194336916560754,0.011134948349369983,-0.08885579985698774,-0.10706988999087383,0.6457765667574932,2.0,-0.7469426681768591,1.1209442857109522e-66,-0.5016349783217929,8.751537084159613e-25
audio_encoder_genre,E3b,A2V,Pop music,367,-0.025280186930523973,-0.024294687173477436,-0.0423607433067297,-0.009254420560954074,-0.056031846423587404,-0.06752899236342147,0.8010899182561307,10.0,-0.6396976089027406,1.2559432689741046e-43,-0.43479732917986175,2.3378535366746154e-18
audio_encoder_genre,E3b,A2V,Reggae,366,0.00709394564350696,0.005223319137523532,-0.013099348248871698,0.03181336655672601,-0.04508893805703587,-0.05941155762053367,0.42349726775956287,1.0,-0.6691924902160219,7.128092218113777e-49,-0.5442295452726212,1.317935488294191e-29
audio_encoder_genre,E3b,A2V,Rock music,367,0.014842724472587832,0.007456444448183953,-0.017499073363325318,0.03715573905228453,-0.03996033849258853,-0.05852163082811194,0.3896457765667575,1.0,-0.8455431128925145,1.6515193347756065e-101,-0.6030920385725188,1.0089629858668035e-37
audio_encoder_genre,E3b,A2V,ALL,3668,0.009339060836968338,0.0008760665436838656,-0.021595644022963142,0.031548288597068,-0.055439249124334136,-0.07653152761943013,0.5505739938357083,3.9,-0.6891536872992509,nan,-0.542417969577164,nan
